,tweets,id,date,source,likes,retweets,Subjectivity,Polarity,Analysis,Tweet_punct
11,"AskTrueIndology
Can explain why Goswami Tulsidas c – not mention anything regarding destruction of Ram Janambhomi mandir by Babur  February  –  December  in any verses out of  verses of Ramcharitmanas",1295067196364750848,2020-08-16 18:37:35,Twitter Web App,0,0,0.0,0.0,Neutral,"AskTrueIndology
Can explain why Goswami Tulsidas c – not mention anything regarding destruction of Ram Janambhomi mandir by Babur  February  –  December  in any verses out of  verses of Ramcharitmanas"
12, Advani ji lived long enough to see Ram Mandir,1295067015560990720,2020-08-16 18:36:52,Twitter for Android,0,0,0.45,-0.025,Negative, Advani ji lived long enough to see Ram Mandir
13, Sir it’s been  days and you still haven’t tweeted about the Bangalore Riots which was done by the people you love  Is this your leadership where you keep quiet on one religions misdeeds and you question the Ram  Mandir Puja ceremony  It’s a shame you call yourself secular,1295066264969207809,2020-08-16 18:33:53,Twitter for iPhone,0,0,0.4666666666666667,0.25,Positive, Sir it’s been  days and you still haven’t tweeted about the Bangalore Riots which was done by the people you love  Is this your leadership where you keep quiet on one religions misdeeds and you question the Ram  Mandir Puja ceremony  It’s a shame you call yourself secular
14," Evrythin is true may b

But congress has never done roads on border

Congress nevr done good for Hindus

Congress is for only Muslims n BJP for evryone

Due to BJP Ram Mandir issue solved

Invoked article 

Still yet to come

Tell ur congmen to support Hindus to get votes",1295065471067201536,2020-08-16 18:30:44,Twitter for Android,0,0,0.65625,0.23124999999999996,Positive," Evrythin is true may b

But congress has never done roads on border

Congress nevr done good for Hindus

Congress is for only Muslims n BJP for evryone

Due to BJP Ram Mandir issue solved

Invoked article 

Still yet to come

Tell ur congmen to support Hindus to get votes"
15,"People before Modi Govt said tht Hindu is been betrayed amp Ram Mandir will never being build but we got justice

Similarly with Article CAATriple talaq etc

Similarly we have faith in  amp  that justice will be served

Save this Tweet

RepublicForSushant coQTsweuDI",1295064328270274560,2020-08-16 18:26:11,Twitter for iPhone,13,7,0.4,0.0,Neutral,"People before Modi Govt said tht Hindu is been betrayed amp Ram Mandir will never being build but we got justice

Similarly with Article CAATriple talaq etc

Similarly we have faith in  amp  that justice will be served

Save this Tweet

RepublicForSushant coQTsweuDI"
16, I love Dhoni  hes really a legend  hes selfless and you just a selfish cricketer who is not ready to loose any  endorsement let it be on any cost If m wrong prove it say loud that you are also happy with reconstruction of Ram Mandir in Ayodhya,1295063040124043264,2020-08-16 18:21:04,Twitter for Android,1,0,0.6586538461538461,0.05288461538461538,Positive, I love Dhoni  hes really a legend  hes selfless and you just a selfish cricketer who is not ready to loose any  endorsement let it be on any cost If m wrong prove it say loud that you are also happy with reconstruction of Ram Mandir in Ayodhya
17, By Building Ram Mandir🚩🚩🚩,1295062537478844418,2020-08-16 18:19:04,Twitter Web App,107,10,0.0,0.0,Neutral, By Building Ram Mandir🚩🚩🚩
18, Advani is a man whose dream of ram mandir came true that must be something very surreal for kamra someone who is struggling to meet the minimum numbers of audience count in his show He cant relate to a man whose goals were achieved,1295062237208391680,2020-08-16 18:17:53,Twitter for Android,0,0,0.825,0.3375,Positive, Advani is a man whose dream of ram mandir came true that must be something very surreal for kamra someone who is struggling to meet the minimum numbers of audience count in his show He cant relate to a man whose goals were achieved
19, Please Guys Trust Mota bhai and ModijiIts just bcoz of them  is abrogated and Ram Mandir is done and Triple Talaq done And Hinduism is more stronger now mat bhulo I am from Gujarat I know what is He and Mota bhai is,1295061820068130816,2020-08-16 18:16:13,Twitter for Android,0,0,0.5,0.5,Positive, Please Guys Trust Mota bhai and ModijiIts just bcoz of them  is abrogated and Ram Mandir is done and Triple Talaq done And Hinduism is more stronger now mat bhulo I am from Gujarat I know what is He and Mota bhai is
20, It was her fate that she was born in UP during the end of era of Mayawati started growing up during Akhilesh Yadav amp entered into her teenage during extreme SUSHASAN when Ram Mandir is going to be build amp little Sitas will be molested one after another,1295061348200529920,2020-08-16 18:14:21,Twitter for Android,0,0,0.5,-0.10416666666666667,Negative, It was her fate that she was born in UP during the end of era of Mayawati started growing up during Akhilesh Yadav amp entered into her teenage during extreme SUSHASAN when Ram Mandir is going to be build amp little Sitas will be molested one after another
21,"MovieMango First  years  purely economy centred policies

Current  years  correcting past mistakes  Ram mandir NEP etc

Next  years  pure Hindutva",1295061268034801669,2020-08-16 18:14:02,Twitter for Android,17,1,0.33055555555555555,0.07142857142857144,Positive,"MovieMango First  years  purely economy centred policies

Current  years  correcting past mistakes  Ram mandir NEP etc

Next  years  pure Hindutva"
22,"CAA
Rera Act
Ram Mandir 
 Cr Homes
 Cr Toilets
Stable Govt
 Removal
Triple Talaq 
Low Inflation
Terrorism Drop
 new AIIMS
 new Airports
LGBTQ Act
 lakh Km Roads
Motor Vehicles Act
Weaponry for forces
New Education Policy
 New IITs IIMs IITs
Reduced Corporate tax",1295060961183903746,2020-08-16 18:12:48,Twitter Web App,0,0,0.353030303030303,0.0909090909090909,Positive,"CAA
Rera Act
Ram Mandir 
 Cr Homes
 Cr Toilets
Stable Govt
 Removal
Triple Talaq 
Low Inflation
Terrorism Drop
 new AIIMS
 new Airports
LGBTQ Act
 lakh Km Roads
Motor Vehicles Act
Weaponry for forces
New Education Policy
 New IITs IIMs IITs
Reduced Corporate tax"
23,Dhoni gave us world cup LK advani gave us Ram Mandir And you You gave us hope Tera ghar chal raha hai to hamara to kuch na kuch jarur hoga coNOzWvvrbQB,1295060176240689152,2020-08-16 18:09:41,Twitter for Android,0,0,0.0,0.0,Neutral,Dhoni gave us world cup LK advani gave us Ram Mandir And you You gave us hope Tera ghar chal raha hai to hamara to kuch na kuch jarur hoga coNOzWvvrbQB
24,"I challenge to  and   show me a single common person who is benefited by
Triple talaq
Ram Mandir
Babri masjid
 
a
NRC 
CAA
And many more useless things
jumlaSarkar",1295059871574790145,2020-08-16 18:08:29,Twitter for Android,0,0,0.3828571428571429,0.02571428571428571,Positive,"I challenge to  and   show me a single common person who is benefited by
Triple talaq
Ram Mandir
Babri masjid
 
a
NRC 
CAA
And many more useless things
jumlaSarkar"
25," Celebrating Ram Mandir and  removel

Waiting for NRC  🔥 🔥",1295059809662726149,2020-08-16 18:08:14,Twitter for Android,0,0,0.0,0.0,Neutral," Celebrating Ram Mandir and  removel

Waiting for NRC  🔥 🔥"
26, Celebrates ram Mandir wait for nrc and population control bill,1295059694524874753,2020-08-16 18:07:46,Twitter for Android,0,0,0.0,0.0,Neutral, Celebrates ram Mandir wait for nrc and population control bill
27, Celebrating Ram Mandir,1295059460675653634,2020-08-16 18:06:51,Twitter for Android,1,0,0.0,0.0,Neutral, Celebrating Ram Mandir
28,"   Unlike Pagans we Hindus got back what was always ours Our Ram Mandir ❤️🇮🇳
Jai Shri Ram",1295059190717640706,2020-08-16 18:05:46,Twitter for Android,0,0,0.0,0.0,Neutral,"   Unlike Pagans we Hindus got back what was always ours Our Ram Mandir ❤️🇮🇳
Jai Shri Ram"
29,"   You wipe out an entire Pagan religion convert their temples to a mosque amp when that very mosque is converted to a Church you cry victim Do you even hear yourself 
Ram Mandir was an Indian temple before Islamic invader Babur demolished it and made a mosque",1295058841722163200,2020-08-16 18:04:23,Twitter for Android,0,0,0.325,0.041666666666666664,Positive,"   You wipe out an entire Pagan religion convert their temples to a mosque amp when that very mosque is converted to a Church you cry victim Do you even hear yourself 
Ram Mandir was an Indian temple before Islamic invader Babur demolished it and made a mosque"
30, I congratulate you and your family for Ram Mandir Bhumi Poojan in your native state happened a week before as well ,1295058484019355653,2020-08-16 18:02:58,Twitter for Android,0,0,0.0,0.0,Neutral, I congratulate you and your family for Ram Mandir Bhumi Poojan in your native state happened a week before as well 
31,"   SovereignShariat justifies nothing 

 Unlike Babri the idol was not encroaching any holy place in the eyes of the believer  

 Most Hindus happiness has much less to with Babris demolition itself but more with a perception that Ram Mandirs path has been cleared",1295058341895401472,2020-08-16 18:02:24,Twitter for Android,0,0,0.31666666666666665,0.3833333333333333,Positive,"   SovereignShariat justifies nothing 

 Unlike Babri the idol was not encroaching any holy place in the eyes of the believer  

 Most Hindus happiness has much less to with Babris demolition itself but more with a perception that Ram Mandirs path has been cleared"
32, U  kya       PiEm   Construction of ram mandir helping a million poor kids on the streets Is it helping the safety issue or is it helping the small businesses,1295057435321720833,2020-08-16 17:58:48,Twitter for iPhone,1,0,0.5,-0.325,Negative, U  kya       PiEm   Construction of ram mandir helping a million poor kids on the streets Is it helping the safety issue or is it helping the small businesses
33,fatima   Our moms happy over Ram Mandir 🚩 not crying blood tears like pislamic feminists 😂😂When ur moms one of  hoors or hoor😂😂 coZzGMmUt,1295057053774262272,2020-08-16 17:57:17,Twitter for Android,0,0,0.8,0.45,Positive,fatima   Our moms happy over Ram Mandir 🚩 not crying blood tears like pislamic feminists 😂😂When ur moms one of  hoors or hoor😂😂 coZzGMmUt
34,  😂😂😂😂Made in china obviously will have to be this sophisticated,1295056858391052294,2020-08-16 17:56:30,Twitter for Android,0,0,0.75,0.25,Positive,  😂😂😂😂Made in china obviously will have to be this sophisticated
35,Babar built Mosque in  and Mughal era almost finished n   So I just want to know in these  years how many hindu Kings attempted to demolish Babri and to rebuild Ram Mandir Just curious to know Please educate me,1295056515858960384,2020-08-16 17:55:09,Twitter Web App,0,0,0.75,0.2,Positive,Babar built Mosque in  and Mughal era almost finished n   So I just want to know in these  years how many hindu Kings attempted to demolish Babri and to rebuild Ram Mandir Just curious to know Please educate me
36, BhagatSingh    After Bhumi Pujan of Ram Mandir Muslims and Italian Christians are  greviously hurt,1295056145791348736,2020-08-16 17:53:40,Twitter for Android,0,0,0.0,0.0,Neutral, BhagatSingh    After Bhumi Pujan of Ram Mandir Muslims and Italian Christians are  greviously hurt
37," IND Its kejrudin and his team who was against chanting Vandey Matram 
He is the Man who opposed Ram Mandir He has a character of CamouflageHe is सच्चा मूसल महान।",1295055808619671553,2020-08-16 17:52:20,Twitter for Android,0,0,0.0,0.0,Neutral," IND Its kejrudin and his team who was against chanting Vandey Matram 
He is the Man who opposed Ram Mandir He has a character of CamouflageHe is सच्चा मूसल महान।"
38,AmitSingh  You know how petty a man can be when the only dream he has for the country is to build a mandir and not educational institutes Lord Ram bless us when we wont have jobs food education and live under a dictator for the rest of our lives,1295055404897009664,2020-08-16 17:50:44,Twitter Web App,0,0,0.5833333333333334,0.0037878787878787845,Positive,AmitSingh  You know how petty a man can be when the only dream he has for the country is to build a mandir and not educational institutes Lord Ram bless us when we wont have jobs food education and live under a dictator for the rest of our lives
39,  This is may be due to Ram Mandir coverage,1295055255030267904,2020-08-16 17:50:08,Twitter for Android,0,0,0.375,-0.125,Negative,  This is may be due to Ram Mandir coverage
40,  Yes she will allow in Ram mandirHindus are very liberal as compare to othersA hindu always love and respect other religionJai Shree Ram⛳⛳,1295055186185003010,2020-08-16 17:49:52,Twitter Web App,0,0,0.425,0.19166666666666665,Positive,  Yes she will allow in Ram mandirHindus are very liberal as compare to othersA hindu always love and respect other religionJai Shree Ram⛳⛳
41," isnt shocking that all the stars like salman  Sharukh amirdipika amitab 
Dosent spoken about Ram mandir",1295054293884522496,2020-08-16 17:46:19,Twitter for Android,2,0,1.0,-1.0,Negative," isnt shocking that all the stars like salman  Sharukh amirdipika amitab 
Dosent spoken about Ram mandir"
42,"if DeMo would not have taken place who would have been cm of UP

if center blackmail SSNCP to get major bills passes would u still call it a blackmail

Remember ram mandir happened cos of DeMo
And NRC and UCC will also get passed due to it only

Yogi emerged all due to it",1295053886248685568,2020-08-16 17:44:42,Twitter Web App,0,0,0.47000000000000003,-0.057499999999999996,Negative,"if DeMo would not have taken place who would have been cm of UP

if center blackmail SSNCP to get major bills passes would u still call it a blackmail

Remember ram mandir happened cos of DeMo
And NRC and UCC will also get passed due to it only

Yogi emerged all due to it"
43,"Thinj If DeMo would not have taken place who would have been cm of UP

if center blackmail SSNCP to get major bills passes would u still call it a blackmail

Remember ram mandir happened cos of DeMo
And NRC and UCC will also get passed due to it only

Yogi emerged all due to it",1295053593469313025,2020-08-16 17:43:32,Twitter for iPhone,0,0,0.47000000000000003,-0.057499999999999996,Negative,"Thinj If DeMo would not have taken place who would have been cm of UP

if center blackmail SSNCP to get major bills passes would u still call it a blackmail

Remember ram mandir happened cos of DeMo
And NRC and UCC will also get passed due to it only

Yogi emerged all due to it"
44," Oh and btw I hadnt even read the list you shared before I responded Just glances thru a few now and realise its quite farcical Held up now Ill get back with more comments

Ram Mandir at no  Im sure thats what the whole country needed rn 🙂",1295053029599715328,2020-08-16 17:41:17,Twitter for Android,0,0,0.46984126984126984,0.014285714285714275,Positive," Oh and btw I hadnt even read the list you shared before I responded Just glances thru a few now and realise its quite farcical Held up now Ill get back with more comments

Ram Mandir at no  Im sure thats what the whole country needed rn 🙂"
45,Poor   is purposely made  handle cases Ike these which were not to his standardsThe biggest shock was the snubbing he got from BJP and NaMo for the ground breaking ceremony of Ram Mandir He is a genius amp should be given his due respect Do we see a another LK Advani  cotqCQyjQmre,1295052692515991552,2020-08-16 17:39:57,Twitter for Android,0,0,0.4875,-0.2625,Negative,Poor   is purposely made  handle cases Ike these which were not to his standardsThe biggest shock was the snubbing he got from BJP and NaMo for the ground breaking ceremony of Ram Mandir He is a genius amp should be given his due respect Do we see a another LK Advani  cotqCQyjQmre
46, Fing hell why are America and its associates determining politics in India First the ram mandir posters then anti caa nrc ones,1295051674164162561,2020-08-16 17:35:54,Twitter for Android,0,0,0.3333333333333333,0.25,Positive, Fing hell why are America and its associates determining politics in India First the ram mandir posters then anti caa nrc ones
47,I would like to ask question to BJP since  after Sir Abdul klam azad no muslim president of INC  or PM given to India yet they support congress what wrong BJP done to muslim they r against them  r because BJP fight for ram mandir tin taalak  or kashmir   article,1295051426838675456,2020-08-16 17:34:55,Twitter for Android,0,0,0.9,-0.5,Negative,I would like to ask question to BJP since  after Sir Abdul klam azad no muslim president of INC  or PM given to India yet they support congress what wrong BJP done to muslim they r against them  r because BJP fight for ram mandir tin taalak  or kashmir   article
48," CAA
Rera Act
Ram Mandir 
 Cr Homes
 Cr Toilets
Stable Govt
 Removal
Triple Talaq 
Low Inflation
Terrorism Drop
 new AIIMS
 new Airports
LGBTQ Act
 lakh Km Roads
Motor Vehicles Act
Weaponry for forces
New Education Policy
 New IITs IIMs IITs
Reduced Corporate tax",1295050644605169665,2020-08-16 17:31:49,Twitter for Android,1,0,0.353030303030303,0.0909090909090909,Positive," CAA
Rera Act
Ram Mandir 
 Cr Homes
 Cr Toilets
Stable Govt
 Removal
Triple Talaq 
Low Inflation
Terrorism Drop
 new AIIMS
 new Airports
LGBTQ Act
 lakh Km Roads
Motor Vehicles Act
Weaponry for forces
New Education Policy
 New IITs IIMs IITs
Reduced Corporate tax"
49,    in some days you will see riots commonly just bcoz of face book only  and one more thing cyber cell wants to know about who donating how many fund to whom people mocking on ram mandir and donating for masjid out side of india,1295050461054025729,2020-08-16 17:31:05,Twitter for Android,0,0,0.52,0.18,Positive,    in some days you will see riots commonly just bcoz of face book only  and one more thing cyber cell wants to know about who donating how many fund to whom people mocking on ram mandir and donating for masjid out side of india
50,HIND  kurmi Yet Bhakts start celebrating over Ram Mandir paid promotion in Times Square 😂,1295049782465945603,2020-08-16 17:28:23,Twitter for Android,3,0,0.0,0.0,Neutral,HIND  kurmi Yet Bhakts start celebrating over Ram Mandir paid promotion in Times Square 😂
51,  Media is silent about each amp everything They will only talk if the issue is about Ram Mandir or hindumuslim,1295049531306831872,2020-08-16 17:27:23,Twitter for Android,0,0,0.55,0.0,Neutral,  Media is silent about each amp everything They will only talk if the issue is about Ram Mandir or hindumuslim
52,    Air strickserjikal strick shatki upgrah pranali rafel feighter s  mesile defence system GST WROP for army teen talakram mandirdhara  disolvcaa billab har ghar nal new plane corona time caror population  mounth free rashan Ankhe kholo bhai list bahut lambi he,1295048469392941057,2020-08-16 17:23:10,Twitter for Android,0,0,0.4181818181818182,0.1787878787878788,Positive,    Air strickserjikal strick shatki upgrah pranali rafel feighter s  mesile defence system GST WROP for army teen talakram mandirdhara  disolvcaa billab har ghar nal new plane corona time caror population  mounth free rashan Ankhe kholo bhai list bahut lambi he
53,  ur in a public platform here every opinion has a counter opinion u spoke on ram mandir nd i questioned u abt brahmanwaad of ur ancestors as alleged by the leftist ideologiesso i jst revert deir question back to u who may knw the real answer coz m a jain,1295048034502373376,2020-08-16 17:21:26,Twitter for iPhone,0,0,0.21333333333333332,0.009999999999999998,Positive,  ur in a public platform here every opinion has a counter opinion u spoke on ram mandir nd i questioned u abt brahmanwaad of ur ancestors as alleged by the leftist ideologiesso i jst revert deir question back to u who may knw the real answer coz m a jain
54, He is on mute mode   no tweet for ram mandir also,1295047831275712513,2020-08-16 17:20:38,Twitter for Android,0,0,0.0,0.0,Neutral, He is on mute mode   no tweet for ram mandir also
55, Madam jhooth kahan par apko dikh raha bjp manifesto  main promise solve with in  month of Modi  like TRIPlE TALAQ ARTICLE   A and RAM MANDIR I think you close yours eye like pigeon,1295047342547075072,2020-08-16 17:18:41,Twitter for Android,0,0,0.3333333333333333,0.16666666666666666,Positive, Madam jhooth kahan par apko dikh raha bjp manifesto  main promise solve with in  month of Modi  like TRIPlE TALAQ ARTICLE   A and RAM MANDIR I think you close yours eye like pigeon
56,"These bastards should be given death penalty by pelting stones at them
Uttar Pradesh se ek taraf ram mandir ki acchi khabar aati hai to doosri taraf aisi ghinoni harkato ki khabare
Revolutionary actions needed
   ji
coeiSxW coTczOkShCT",1295046275511906307,2020-08-16 17:14:27,Twitter for Android,0,0,0.0,0.0,Neutral,"These bastards should be given death penalty by pelting stones at them
Uttar Pradesh se ek taraf ram mandir ki acchi khabar aati hai to doosri taraf aisi ghinoni harkato ki khabare
Revolutionary actions needed
   ji
coeiSxW coTczOkShCT"
57,  Please Guys Trust Mota bhai and ModijiIts just bcoz of them  is abrogated and Ram Mandir is done and Triple Talaq done And Hinduism is more stronger now mat bhulo I am from Gujarat I know what is He and Mota bhai,1295046221149528064,2020-08-16 17:14:14,Twitter for Android,19,0,0.5,0.5,Positive,  Please Guys Trust Mota bhai and ModijiIts just bcoz of them  is abrogated and Ram Mandir is done and Triple Talaq done And Hinduism is more stronger now mat bhulo I am from Gujarat I know what is He and Mota bhai
58,  Please Guys Trust Mota bhai and ModijiIts just bcoz of them  is abrogated and Ram Mandir is done and Triple Talaq done And Hinduism is more stronger now mat bhulo I am from Gujarat I know what is He and Mota bhai,1295046157383548928,2020-08-16 17:13:59,Twitter for Android,11,0,0.5,0.5,Positive,  Please Guys Trust Mota bhai and ModijiIts just bcoz of them  is abrogated and Ram Mandir is done and Triple Talaq done And Hinduism is more stronger now mat bhulo I am from Gujarat I know what is He and Mota bhai
59,  Please Guys Trust Mota bhai and ModijiIts just bcoz of them  is abrogated and Ram Mandir is done and Triple Talaq done And Hinduism is more stronger now mat bhulo I am from Gujarat I know what is He and Mota bhai,1295046121161543680,2020-08-16 17:13:50,Twitter for Android,106,2,0.5,0.5,Positive,  Please Guys Trust Mota bhai and ModijiIts just bcoz of them  is abrogated and Ram Mandir is done and Triple Talaq done And Hinduism is more stronger now mat bhulo I am from Gujarat I know what is He and Mota bhai
60, Please Guys Trust Mota bhai and ModijiIts just bcoz of them  is abrogated and Ram Mandir is done and Triple Talaq done And Hinduism is more stronger now mat bhulo I am from Gujarat I know what is He and Mota bhai,1295046107702018048,2020-08-16 17:13:47,Twitter for Android,6,0,0.5,0.5,Positive, Please Guys Trust Mota bhai and ModijiIts just bcoz of them  is abrogated and Ram Mandir is done and Triple Talaq done And Hinduism is more stronger now mat bhulo I am from Gujarat I know what is He and Mota bhai
61,"Good in part delirious otherwise Biggest problem he doesnt actually mean what he says And whats hyphenated secularism
The Ram Mandir movement did not even exist till  RSS invented it to counter Mandal politics which spelt doom for Hindutva
coszwsBVYoQ",1295045429134913536,2020-08-16 17:11:05,Twitter for Android,0,0,0.64375,0.19374999999999998,Positive,"Good in part delirious otherwise Biggest problem he doesnt actually mean what he says And whats hyphenated secularism
The Ram Mandir movement did not even exist till  RSS invented it to counter Mandal politics which spelt doom for Hindutva
coszwsBVYoQ"
62, Islamic jihaad prep against india  especially ram mandir hurts the khan gang,1295044814262607872,2020-08-16 17:08:39,Twitter for Android,0,0,1.0,0.0,Neutral, Islamic jihaad prep against india  especially ram mandir hurts the khan gang
